iter	Passed	Remaining
0	0	81
1	1	73
2	2	69
3	2	64
4	3	63
5	4	63
6	4	62
7	5	61
8	5	60
9	6	59
10	7	58
11	7	58
12	8	57
13	9	56
14	9	55
15	10	54
16	11	54
17	11	53
18	12	52
19	13	52
20	13	51
21	14	50
22	14	50
23	15	49
24	16	48
25	16	47
26	17	47
27	18	47
28	19	46
29	19	46
30	20	46
31	21	45
32	22	44
33	22	44
34	23	43
35	23	42
36	24	41
37	25	41
38	25	40
39	26	39
40	27	39
41	27	38
42	28	37
43	28	36
44	29	35
45	29	35
46	30	34
47	31	33
48	32	33
49	33	33
50	34	32
51	35	32
52	35	31
53	36	30
54	36	30
55	37	29
56	38	28
57	38	28
58	39	27
59	40	26
60	40	26
61	41	25
62	42	24
63	42	23
64	43	23
65	43	22
66	44	21
67	45	21
68	46	20
69	46	20
70	47	19
71	48	18
72	49	18
73	49	17
74	50	16
75	51	16
76	51	15
77	52	14
78	53	14
79	53	13
80	54	12
81	55	12
82	55	11
83	56	10
84	56	10
85	57	9
86	58	8
87	58	8
88	59	7
89	60	6
90	60	6
91	61	5
92	61	4
93	62	3
94	63	3
95	63	2
96	64	1
97	65	1
98	65	0
99	66	0
